SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
913316;PIS CREDITO LEI 10.637/2002;0;1006,35;-1006,35;0;
905733;PIS RETIDO NA FONTE;0;6,33;-6,33;0;
1.01.07;OUTROS CREDITOS;77478,28;9450,37;-3306,36;83622,29;
1.01.07.01;OUTROS CREDITOS;77478,28;9450,37;-3306,36;83622,29;
914691;COMPRA PARA RECEBIMENTO FUTURO - USO E CONSUMO;0;3128,60;-1424,63;1703,97;
902790;CONSORCIO;74743,31;6165,06;-1881,73;79026,64;
913848;FUNDO DE RESERVA;2734,97;156,71;0;2891,68;
1.02;NAO CIRCULANTE;43911220,95;262172,56;-22500,35;44150893,16;
1.02.01;REALIZAVEL A LONGO PRAZO;259916,01;250000,00;0;509916,01;
1.02.01.02;APLICACOES FINANCEIRA DE LONGO PRAZO;259916,01;250000,00;0;509916,01;
915340;APLICACOES BANCO DE DESENVOLVIMENTO DE MG (BDMG);0;250000,00;0;250000,00;
904246;COTAS DE CAPITAL SICOOB;169916,01;0;0;169916,01;
913060;TITULO DE CAPITALIZACAO CAIXA ECONOMICA FEDERAL;90000,00;0;0;90000,00;
1.02.07;CUSTO DE AQUISICOES DE IMOBILIZADO;47793428,83;12172,56;-120,00;47805481,39;
1.02.07.01;CUSTO DE AQUISICOES DE IMOBILIZADO;47793428,83;12172,56;-120,00;47805481,39;
913319;BENFEITORIAS EM BENS DE TERCEIROS - BSB;3816211,04;9678,61;0;3825889,65;
913321;BENFEITORIAS EM BENS DE TERCEIROS - CRT;1648776,98;0;0;1648776,98;
913320;BENFEITORIAS EM BENS DE TERCEIROS - FSA;870812,42;0;0;870812,42;
913318;BENFEITORIAS EM BENS DE TERCEIROS - MTZ;4708190,54;1090,00;0;4709280,54;
905259;COMPUTADORES E PERIFERICOS;608250,53;0;0;608250,53;
902989;MAQUINAS E EQUIPAMENTOS;2264419,96;1403,95;0;2265823,91;
902945;MOVEIS E UTENSILIOS;1356800,93;0;-120,00;1356680,93;
902869;VEICULOS;32519966,43;0;0;32519966,43;
1.02.08;(-) DEPRECIACOES ACUMULADAS;-4680923,89;0;-22380,35;-4703304,24;
1.02.08.01;(-) DEPRECIACOES ACUMULADAS;-4680923,89;0;-22380,35;-4703304,24;
902812;(-) DEPR. ACUMULADA - BENFEITORIAS TERC - MTZ;-481608,11;0;0;-481608,11;
905260;(-) DEPR. ACUMULADA COMPUTADORES E PERIF.;-164846,47;0;0;-164846,47;
902928;(-) DEPR. ACUMULADA  MOVEIS E UTENSILIOS;-102364,03;0;0;-102364,03;
902829;(-) DEPR. ACUMULADA VEICULOS;-3777619,54;0;-18934,04;-3796553,58;
902988;(-) DEPR. ACUMUMULADA MAQUINAS E EQUIPAMENTOS;-154485,74;0;-3446,31;-157932,05;
1.02.10;CUSTOS DE AQUISICOES DE INTANGIVEL;538800,00;0;0;538800,00;
1.02.10.01;CUSTOS DE AQUISICOES DE INTANGIVEIL;538800,00;0;0;538800,00;
904905;CRIPTOMOEDAS;538800,00;0;0;538800,00;
1.80;CONTAS TEMPORARIAS;0;12302431,24;-12302431,24;0;
1.80.01;CONTAS TEMPORARIAS;0;12302431,24;-12302431,24;0;
15003;COMPRAS DISTRIBUIR;0;2517625,64;-2517625,64;0;
900130;DEVOLUCAO COMPRAS DISTRIBUIR;0;26854,97;-26854,97;0;
900131;DEVOLUCAO VENDAS DISTRIBUIR;0;66763,09;-66763,09;0;
901974;FRETES A DISTRIBUIR;0;33343,02;-33343,02;0;
903383;TRANSFERENCIA ENTRE FILIAIS A DISTRIBUIR;0;5374122,16;-5374122,16;0;
15005;VENDAS DISTRIBUIR;0;3820378,76;-3820378,76;0;
914783;VENDAS GARANTIA;0;463343,60;-463343,60;0;
2;PASSIVO;162803047,53;21040060,21;-23019039,07;164782026,39;
2.01;PASSIVO CIRCULANTE;135241623,60;20880599,67;-15267614,44;129628638,37;
2.01.01;FORNECEDORES;76971872,62;15861932,91;-3105704,89;64215644,60;
2.01.01.01;FORNECEDORES;76971872,62;15861932,91;-3105704,89;64215644,60;
2.01.02;OBRIGACOES FISCAIS A RECOLHER;336426,18;845591,46;-800347,20;291181,92;
2.01.02.01;IMPOSTOS E CONTRIBUICOES A  RECOLHER;336426,18;845591,46;-800347,20;291181,92;
903031;COFINS A RECOLHER;59884,44;154384,03;-165516,77;71017,18;
905357;CSRF A RECOLHER;588,70;588,70;-1111,68;1111,68;
907611;DIFAL A RECOLHER SAIDA;837,83;2848,79;-3467,18;1456,22;
905246;GNRE ST A RECOLHER;473,17;5527,24;-5922,65;868,58;
903026;ICMS A RECOLHER;237888,11;609673,36;-542571,93;170786,68;
908847;ICMS ST GR A RECOLHER;519,26;15758,18;-16051,00;812,08;
903027;IRRF A RECOLHER;14657,94;14657,94;-15180,32;15180,32;
903028;ISS A RECOLHER;8426,36;8426,36;-14028,61;14028,61;
906585;ISS RETIDO A RECOLHER;149,61;149,61;-502,64;502,64;
903030;PIS A RECOLHER;13000,76;33577,25;-35994,42;15417,93;
2.01.04;SALARIOS E OBRIGACOES SOCIAL A PAGAR;799402,62;814075,98;-777422,98;762749,62;
2.01.04.01;SALARIOS E OBRIGACOES;799402,62;814075,98;-777422,98;762749,62;
903025;FGTS A RECOLHER;60001,63;60001,63;-44290,44;44290,44;
903024;INSS A RECOLHER;207063,52;207063,52;-232284,02;232284,02;
